职业类型,职业名称,薪资,地址,资历,学历要求,职业类型,职业简介,公司名称,公司规模,公司类型,时间
.NET,2022届校招-软件开发岗,4-8K,常州,在校/应届,大专,"C#
WPF
MySQL","岗位职责：
1、理解业务需求,根据业务功能编写代码；
2、负责产品在用户现场实施部署过程中的现场问题解决、定制开发；
3、编写相关的技术文档。
任职要求：
1、大专及以上学历，计算机相关专业，对软件开发有浓厚兴趣；
2、熟悉C#语言，熟悉面向对象程序设计；熟悉sqlserver/mysql数据库，熟悉wonform/wpf等开发，有软件相关实习经验优先。
补充说明：可安排在校实习
职位招聘5人",孟腾智能装备,100-499人,其他行业,2024上半年
.NET,.Net开发工程师,10-12K,厦门,3-5年,本科,"C#
ERP系统开发经验
服务端开发经验
.NET
.NET开发经验
国内院校优先
.NET Core","1.熟悉.Net Framework ，.Net Core开发，两年以上开发经验。
2.熟练使用ABP框架，熟悉ASP.NET MVC CORE和DDD领域设计，有Uniapp经验，独立完成过相关APP项目或者微信小程序项目。
3.熟悉金蝶云-星空各种插件开发如表单插件，单据转换插件等有限考虑。
4.熟悉sql server 数据库操作，熟练使用GIT或者SVN工具",白大师,100-499人,电子商务,2024上半年
.NET,后端开发工程师,6-11K·14薪,无锡,经验不限,大专,".NET
MVC开发
ASP.NET
后端开发
C#","1、.net开发相关工作经验优先。
2、熟悉asp.net的mvc开发模式。
3、熟悉SQL Server数据库管理和开发,能独立编写存储过程。
4、良好的沟通能力，能在规定的时间内完成本职工作任务。
5、能力优异者待遇可以多次调整。
福利待遇：
1、五险一金，五天工作制，享有国家法定假期、带薪年休假等福利待遇。
2、每年团建、携家属旅游。
3、良好的工作环境，和谐的工作氛围，个人发展空间大，晋升职务多，升迁机会大。
工作时间：8:30-17:00，周末双休。
优秀人员薪资可面议",满盛信息,0-20人,计算机软件,2024上半年
.NET,.NET软件开发工程师,9-14K,台州,3-5年,大专,"C#
.NET开发经验
.NET
MySQL/SQL Server/Oracle","1、熟悉.NET平台下B/S、C/S架构开发,熟练使用微软VisualStudio2008以上版本的开发工具；2、熟悉SQL Server或mysql，熟练编写T-SQL语句，SQL性能优化，存储过程，触发器，视图，有过大批量数据处理与优化经验；3.精通面向对象分析设计；有软件建模经验更好； 4.优秀的编程效率，良好的编码习惯； 5.热爱计算机技术，热衷于软件开发工作；",长风智能,20-99人,智能硬件,2024上半年
.NET,.NET,3-6K,大连,经验不限,大专,"Java
.NET
C#",Java，C#等软件开发，会日语优先,大连水云科技有限公司,0-20人,计算机软件,2024上半年
.NET,.net开发,6-12K,厦门,1-3年,本科,".NET
C#
Javascript","一、岗位职责：
1、负责公司平台的研发和维护；
2、参与项目的需求分析的讨论及实施方案的制定；
3、参与软件系统的分析和设计；
4、根据开发进度和任务分配完成相应模块的设计、开发及Bug修正等任务。
二、岗位要求：
1、必须精通C#,能基于Asp.Net熟悉B/S架构，Web方面开发人员；
2、精通MVC架构模式，熟悉NOSQL（Redis）优先考虑；
3、熟练使用HTML5,VUE.JS,JavaScript,Jquery,Css布局；
4、具有良好的编码风格，善于接受新技术，具备良好的自学能力；
5、3年以上工作经验，大专以上学历，计算机相关专业；
6、熟练使用 SQLSERVER，有部署过SQLSERVER读写分离，使用过内存表优先考虑；
7、熟悉主流应用服务器，精通 IIS；
8、熟悉开发文档的编写；
9、精通 WebAPI、AJAX 和 JSON。
10、有广告行业平台开发经验优先；",柴菲克网络,20-99人,移动互联网,2024上半年
.NET,net开发工程师,15-18K·13薪,北京,3-5年,本科,"微服务架构
数据结构
MySQL
Windows
Linux","岗位职责
1、负责公司项目管理产品开发
2、工作流开发
3、数据结构设计
4、集成第三方平台接口与开发
岗位要求
1、统招二本及以上学历，计算机相关专业；
2、做过大型项目，如ERP、财务软件软件、项目管理软件者优先考虑
3、精通.NetCore，有微服务项目经验至少三年以上
4、有扎实的多线程，网络，对象序列化编程经验
5、了解http网络协议原理
6、精通SQL语句，有SQL Server,MySQL,Oracle等数据库的经验。
7、熟悉HTML5、Bootstrap、JavaScript、Jquery 、ExtJs6.2、Angularjs、React
8、对数据结构算法，设计模式有研究者优先
9、有工作流引擎使用者优选
10、思维逻辑清晰、代码编写规范
11、具有团队精神和协作能力、文档习惯、规范化(标准化的代码编写习惯)、复用性（模块化的思维能力）、学习和总结能力。
12、工作一年以上，有机会享有股权奖励，优秀员工可以成为公司技术合伙人。",中宇辰星,0-20人,企业服务,2024上半年
.NET,.NET高级软件工程师,10-15K,南通,3-5年,大专,".NET
ASP
MVC开发
C#
后端开发","【岗位职责】：
1.完成公司项目的前后端任务开发；
2.承担前后端核心模块的设计、实现工作；
3.能够独立完成详细设计及编码、进行代码审查；
4.维护及优化网站和平台性能、优化开发模式和规范，参与框架的编写以及规范的制定。
【任职资格】：
1.精通B/S 架构开发 ;
2.熟练使用MVC4和MVC5 、webapi、EntityFramework、linq等；
3.精通Microsoft Visual Studio 2017开发平台；
4.熟练使用源代码管理工具以及其他相关项目开发工具；
5.熟练掌握Windows Server系统，熟练使用IIS等服务器软件，熟悉相关安全配置或分布式、集群技术；
6.熟练掌握SQLServer数据库的构建及相关维护，熟悉NoSQL,有海量数据（TB级，过亿条数据）处理经验；
7.熟悉分布式存储和计算平台相关技术；
8.有丰富的面向对象分析、设计、开发、调试和测试经验，良好的文档能力及良好的编码风格；
9.熟悉软件开发流程，掌握常用的分层架构，了解常用的设计模式，对架构设计有一定经验；
10.三年及以上开发经验；
11.有过大型项目开发经验和实施经验；
12.有过b2c类型项目经验优先考虑。",复来生物,20-99人,日化,2024上半年
.NET,.NET 中高级MES开发工程师,13-26K,杭州,5-10年,本科,".NET
.NET Core
.NET开发经验
MES","岗位职责:
1、负责大数据及报表开发
2、负责大型生产型智能制造型企业的系统的开发及二次开发；
3、负责产品设计及架构设计，负责部分业务的重构；
4、负责核心业务功能的实现，优化；
5、配合研发部经理进行产品规划及技术规划。
任职要求:
1、大专及以上学历，计算机、软件、信息化工程等理工科相关专业，3年以上开发工作经验，3年以上架构搭建或者重构工作经验，具备扎实的程序设计基本功和学习能力;
2、精通es引擎操作、时序数据库操作，有questdb经验优先
3、精通WinFrom、WPF、NetCore、 WebApi、EF及EF Core;
4、熟悉Redis、Oracle、MySQL、MongoDB、SqlLite等数据库；
5、精通C#多线程、线程安全、异步编程;
6、精通Http、TCP/IP 协议、socket/websocket ;
7、能够独立搭建主流的技术框架，有相对复杂的功能的开发能力;
8、熟悉原型图设计。
9、良好的学习能力、沟通能力和团队合作能力，工作严谨，有较强责任感和自我驱动力
10、熟悉软件开发流程，面向对象开发，代码规范，思路清晰，具备良好的分析和解决问题的能力
福利待遇:五险一金，双休。出差有补贴。",杭州盈格信息,20-99人,计算机软件,2024上半年
.NET,.NET软件开发工程师C#工程师,6-11K·13薪,厦门,1-3年,学历不限,"多线程
分布式技术
Socket技术
消息队列
SQL Server
Oracle
MySQL
架构师","职位描述：
一、工作内容：
1、负责.Net产品线的技术架构与平台的开发, 软件系统核心技术研究和攻关及部分技术需求；
2、负责内部系统的二次开发和技术重构工作
3、独立完成部分模块及程序的编码、自测；
4、根据需求文档内容进行部分模块的概要设计、开发；
5、解决系统开发过程中部分模块出现的相关问题故障；
二、任职要求：
教育程度/经验
1、3年或以上软件开发经验，1-2年以上.NET编程经验，且担任至少1个大型项目核心成员不短于1年。
2、专业能力
掌握.Net Framwork开发,熟悉多线程委托处理
掌握至少一门关系型数据库语言(SQLServer\Oracle\MySql)
掌握socket通信技术
熟悉消息队列开发应用(RabbitMQ\Kafka)
满足以下条件优先考虑
开发过内网穿透、NAT穿透者优先
开发过浏览器者优先
熟练使用HttpWebRequest、HttpClient 者优先",宇兽科技,20-99人,计算机服务,2024上半年
.NET,软件开发工程师（.net、C#、JAVA）,8-10K,郑州,3-5年,本科,.NET,"岗位职责：
1、快速的熟悉理解公司原有软件系统的代码，并进行维护、优化和升级；
2、独立完成项目需求分析，功能分解，框架搭建，代码开发，项目调试安装和部署；
3、使用优秀的架构设计及算法实现代码；
4、与本部门软件工程师或其他部门同事协作完成工作任务；
5、公司和部门领导安排的项目及研发任务。
任职要求：
1、计算机相关专业本科及以上学历；
2、熟练使用.net core进行代码开发，熟悉.net core跨平台使用部署；
3、熟悉ActiveMQ或RabbitMQ消息通信；
4、熟悉java spring boot微服务框架搭建；
5、至少精通Sql Server,MySql,MongoDB中的任何一个数据库，熟悉redis存储；
6、有良好的逻辑思维和沟通能力，善于学习，独立分析思考能力强；
7、具备较强的责任心和团队合作精神，有极强的共同实现目标的敬业精神；
8、对新技术敏感，热衷关注新技术，能够独立解决项目开发中的技术难题。",波特控制技术,20-99人,其他行业,2024上半年
.NET,.net开发工程师,6-8K·13薪,郑州,1-3年,学历不限,"C#
ERP
供应链
计算机软件
.NET
Winform
数据库
SQLServer","要求：（不招实习生）
1、精通C# / .NET开发语言；熟悉WinForm相关技术；
2、精通SQLSERVER数据库存储过程等开发；
3、良好的设计文档编写能力；
4、具有企业ERP开发经验者优先；
5、良好的团队合作精神、沟通表达能力和学习能力；
 
岗位职责：
1、项目设计文档编写，参与相关功能的评审并提出合理化建议；
2、基于开发负责人编写的设计文档，完成项目、产品的开发，编写所负责功能的相关文档；
3、严格按照公司开发规范、确保交付质量；
4、协助测试人员进行模块的测试，Debug 或整理问题点，提出改善对策；
5、协助开发责任人完成产品的代码及说明文档的更新工作；
6、负责项目、产品的维护、技术支撑。",优祺计算机科技,20-99人,计算机软件,2024上半年
.NET,软件开发工程师,13-20K·13薪,上海,3-5年,本科,"C#
多线程
微服务架构
MVC开发
分布式技术
Linux
.NET Core
ASP.NET","1、负责公司自有设备配套软件系统开发
2、负责WMS、MES、调度系统的开发
3、负责公司软件系统数据库系统设计
4、负责软件系统后台业务部分的开发
任职要求：
1、自动化、电子、电气、软件开发等相关专业
2、全日制本科或以上学历
3、熟悉.Net开发，有C#语言开发经验
4、有H5移动端APP开发经验
5、有工业系统或软硬件系统相关开发经验优先聘用
6、至少有Oracle、MSSQL、PostGreSQL等主流数据库其中1种的开发经验
7、良好的业务理解能力和逻辑思维能力，出色的问题分析及解决能力，具有很强的抗压能力，",上海指象智能科技,20-99人,仪器仪表/工业自动化,2024上半年
.NET,对日.NET,7-12K,大连,3-5年,学历不限,.NET,"岗位职责：
◆能够正确理解日语/中文设计书
◆根据设计书编写符合规范的代码并调试程序到可以进行下一阶段测试的程度
◆根据设计书编写符合测试观点的测试用例，测试数据，预想结果
◆根据测试用例和测试数据实施测试，保证测试结果的真实可靠
◆能够正确编写日语/中文详细（内部）设计文档，程序设计
◆能够编写日语QA文档
◆审查下级职位的成果物，保证成果物质量
◆承担主要技术调研工作
◆积极主动帮助辅导下级职位的员工工作
任职要求：
●3年以上软件开发工作经验
●具备Java,.NET,php,cobol，C等语言相关开发知识
●能够阅读理解日语式样书、能够正确编写QA、能够用日语邮件交流者优先，或者愿意从事对日开发，有学习日语的愿望和动力
●分析能力、关注细节、沟通、解决问题能力、学习能力",猫控财富,20-99人,投资/融资,2024上半年
.NET,net开发工程师,8-13K,宁波,1-3年,大专,".NET
计算机相关专业
.NET开发经验","岗位职责:
1、负责新项目的代码开发,参与项目分析,与客户沟通;
2、对原有项目代码BUG改进;
3、按要求完成相关的技术文档。
岗位要求:
1、大专及以上学历，计算机相关专业；
2、2年以上.NET开发经验，能够使用C#，有对金蝶云星空二开经验者优先；
3、熟悉MSSQL数据库，熟练编写MSSQL数据库语句及存储过程；
4、良好的沟通能力、理解能力，团队协作意识，较强的协调能力。",妈咪宝,1000-9999人,企业服务,2024上半年
.NET,.net程序员,5-10K,青岛,1-3年,大专,"C#
Java
CSS
JavaScript
.NET
.NET开发经验
HTML
后端开发
.NET Core
SQL","熟练掌握c#.net开发
熟练掌握数据库编程mysql mssql sever
做事严谨踏实，责任心强，有良好合作精神以及沟通协调能力
工作态度认真
有经验者优先",易木易家软件开发,20-99人,计算机软件,2024上半年
.NET,.NET开发工程师,5-10K,长沙,1-3年,大专,"C#
Winform
SQL Server
Oracle
软件工程师
C/S架构
ASP.NET","岗位职责：
1、根据公司业务需求完成相关系统的设计，开发，检测并编写相当技术文档；
2、按照开发任务保质，保量的完成开发任务。
岗位要求：
1、大专以上学历，计算机专业；
2、1年以上工作经历；
3、熟悉C#语言，熟练VS2015及以上开发环境，熟悉C#Winform编程；
4、熟悉.net的相关框架；
5、精通Oracle,SQLServer数据库；
6、熟悉Developer Express控件者优先；
7、熟悉医疗行业信息化开发背景优先，尤其是his开发经验者;
8、熟悉H5,微信公众号等电子商务网站开发经验者优先；",达尔健,20-99人,计算机软件,2024上半年
.NET,上位机软件工程师,7-12K,西安,1-3年,大专,"C#
SQL
C++
.NET
Python","岗位职责：
1、负责公司新产品的上位机软件及系统集成软件；
2、配合嵌入式开发人员、工业自动化控制人员，开发上位机软件；
3、能够根据项目需求设计软件架构和界面，实现与用户良好的交互体验；
4、完成公司软件开发相关工作；
5、撰写软件相关文档。
任职条件：
1、精通C/C++、C#、多线程、STL、MFC等Windows平台VC开发技术；
2、精通Labview等平台的可视化软件开发技术；
3、掌握SQL语言，有一定的MSSqlserver数据库设计能力；
4、具备嵌入式系统硬件编程的基本知识，了解硬件基本原理；
5、有上位机开发经验者优先；
6、有多种通讯方式的硬件设备开发经验，包括Ethernet，GPIB, USB, RS232等；
7、精通软件开发全流程；
8、具有良好而规范的编程习惯和技术文档编写习惯；
9、具有独立负责上位机软件开发项目经验者优先。
公司致力于特种智能机器人研发，主业为机器人和物联网通讯，市场目标明确，为朝阳产业，未来行业发展可期，需您的加入，携手共创美好未来。
公司位于地铁旁。
高管均为来自航天系统的高端人才，技术学术气氛浓厚，待人谦和诚恳，可以为年轻人提供技术学术指导，帮助年轻人做好职业规划。
公司在提供电梯房套间住宿，卫生间，冷热水，空调齐全，人均居住面积不小于10平米。
按规定为员工缴纳社保，有年终奖及项目奖。",钢索物联,20-99人,通信/网络设备,2024上半年
.NET,.NET开发工程师【兼职】,13000-15000元/月,北京,1-3年,本科,".NET
MySQL/SQL Server/Oracle
Vue/React/Angular","工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2023-09-30
岗位描述：
1、完成软件系统代码的实现，编写代码注释和开发文档；
2、辅助进行系统的功能定义,程序设计；
3、根据设计文档或需求说明完成代码编写，调试，测试和维护；
4、分析并解决软件开发过程中的问题；
5、协助测试工程师制定测试计划，定位发现的问题。
任职要求：
1、计算机相关专业，2年以上工作经验；
2、熟练掌握C#,SQL，语言，熟练使用VisualStudio VSCode SQLServer PostMan 等软件开发工具；
3、熟练掌握1到2种件软件设计模式，有具体的软件开发经历；
4、有参与过项目从规划、开发、测试、上线经验；
5、有数据库优化；
6、有软件白盒测试经验。",数悦科技,20-99人,计算机软件,2024上半年
.NET,C#软件工程师,5-10K·14薪,潍坊,经验不限,学历不限,"C#
Web端
.NET
后端开发
ASP.NET
Visual Studio
软件工程师
MVC开发","1.熟练掌握c#语言，有c/s和b/s架构开发经验。
2.熟悉常用主流数据库。
3.有前端网页制作经验，熟练使用javascript。",安盾软件,20-99人,计算机软件,2024上半年
.NET,985/211大数据研发工程师,12-20K,合肥,经验不限,本科,".Net
WinForm
WCF","岗位职责：
1、负责大数据抽取、清洗、转化等数据处理程序开发；
2、设计和开发各种大数据处理的平台与工具。
任职要求：
1、计算机、数学或统计等相关专业，有相关工作经验优先；
2、对.Net技术有深入研究，熟练掌握WinForm、WCF等技术及主流开发框架，能遵循良好的编程规范；
3、熟悉C/S模式的软件开发，熟练一种数据库，C#多线程；
4、熟悉Hadoop、Storm或Spark等分布式系统的工作原理，具备较强的架构、性能优化能力；
5、具有良好的沟通能力和团队合作精神。",大智慧,1000-9999人,互联网,2024上半年
Golang,资深/高级/golang开发工程师,25-40K·16薪,上海,5-10年,本科,"微服务架构
多线程
后端开发
高级软件工程师
Gin
gRPC","工作职责:
1、参与后端核心业务相关的微服务开发和维护工作
2、参与将现有单体系统的社区业务迁移至Go微服务中
3、对现有系统的不足进行分析，改进系统架构，提高系统性能
任职要求:
1、3年以上互联网工作经验，1年以上Go实际项目研发经验，计算机软件或相关专业；
2、熟悉golang基础数据结构，goruntime原理；
3、熟悉分布式、多线程及高性能的设计与编码及性能调优；
4、熟悉redis，local cache缓存框架技术；
5、有良好的代码习惯，结构清晰，命名规范，逻辑性强，熟悉设计模式理论；
6、熟悉MySQL数据库设计、查询性能优化和存储优化方面经验。随时贯彻最优化开发的思想；
7、有很强的与业务人员的沟通能力，分析问题和解决问题的能力，有强烈的责任心，有强大的抗压能力；
8、热爱开发工作，追求细节，追求完美，团队合作意识良好；
9、有大型社区/电商项目经验优先。",得物App,1000-9999人,电子商务,2024上半年
Golang,Golang软件开发工程师,12-24K·14薪,西安,经验不限,本科,"微服务架构
容器技术
分布式技术
网络协议
架构师
golang","岗位职责：
1、 负责5G云核心网微服务模块的设计、开发、测试工作，探索大流量、低时延的软件系统架构，满足负载均衡、5G网络切片、精准智能用户管理等复杂业务场景需求；
2、负载在云平台上对5G核心网信令面产品开展功能、DFX测试和可信安全攻防/渗透测试等工作。对产品进行商用质量评估，助力打造高性能、高可靠性的5G产品；
3、负责数据模型构建，复杂多数据源BI系统的开发，对数据进行挖掘、优化、统计及分析；
4、 负责基于敏捷的开发自测环境（ALPHA测试框架），实现消息和数据为中心的标准化模板方法集的开发；
业务技能要求：
1、熟悉通信相关知识，掌握TCP/IP、HTTP等网络通信和协议基础知识，以及安全加密、隐私保护等规范和要求，了解3GPP/GSMA协议框架，熟悉SIP/Diameter协议或VoIP更佳；
2、熟悉主流云计算平台和框架、有云平台及互联网产品开发经验者优先；
3、熟悉微服务架构理论知识，熟悉公有云和Cloud Native系统架构，熟悉容器体系架构，具备K8S、Docker等容器技术栈软件开发相关经验者优先；
4、有较强的学习能力，分析能力和解决问题能力，具备良好的团队合作意识。
5、了解大数据相关技术，如Hadoop、Spark、Hive、Flume，Elasticsearch、Flink等
专业知识要求：
熟练掌握Go一种或多种计算机编程语言",华为技术有限公司,10000人以上,计算机软件,2024上半年
Golang,大规模集群技术专家,50-70K,北京,10年以上,本科,"Golang
计算机相关专业
k8s
虚拟化
运维","岗位职责
1）面向大数据场景，不断提升大规模YARN集群的扩展性、稳定性；
2）围绕YARN生态，持续迭代其外围平台与数据指标体系；
3）协同上层引擎，持续推动大数据场景云原生化。
岗位基本要求
1）熟练语言Go；
2）计算机基础知识扎实，具备良好的问题分析和解决能力，有团队合作精神和沟通能力；
3）熟悉Hadoop相关生态者，如YARN、HDFS、Spark、Flink等。
具备以下条件优先
1）具备大规模集群管理和资源调度的实践经验者优先；
2）熟悉Kubernetes生态者优先。
岗位亮点
1）资源规模大、场景问题复杂和技术挑战大，在这里你可以深耕技术，做出业界先进的成果，晋升空间大；
2）管理数万台CPU/GPU服务器，承载美团所有的机器学习和大数据任务；
3）在核心团队和领域专家一起工作，团队风格严谨务实，学习氛围浓厚，成长环境好。",美团,10000人以上,互联网,2024上半年
Golang,Golang开发工程师,15-25K,上海,5-10年,本科,"Go
微服务架构","工作内容
1、采用Go语言(Golang)开发高可用、 高并发的后端组件、服务；
2、保证系统的效率和可靠性以及代码质量和可维护性；
3、维护优化后台微服务；
4、参与后台系统设计。
任职要求
1、本科及以上学历计算机相关专业；
2、三年及以上Go语言开发经验；
3、熟练掌握MySQL、mongodb、Redis,熟悉Linux者优先；
4、熟练掌握常用数据结构和算法；
5、熟悉Socket和多线程编程；
6、具有良好的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力的能力
7、有微信小程序、会员系统、在线商城开发经验优先",善护念健康管理,1000-9999人,医疗健康,2024上半年
Golang,专有云高级研发工程师,20-40K·14薪,北京,5-10年,本科,"Go
后端开发
计算机软件
云计算
容器技术
Linux
kubernetes
k8s","腾讯云专有云产品中心团队，致力于持续打造精细化智能调度的专有云产品能力，研发专家参与专有云基础技术与运维能力的建设，要求：
1、必须熟悉 golang 开发，有 golang 后端或系统软件开发经验，并有项目落地。
2、熟悉云原生技术，包括但不限于kubernetes/docker生态的相关技术。
3、对工程质量、架构、系统性能有极高要求以及优化经验。
4、对代码标准、测试、架构有偏执的极致追求。
5、大规模场景下的容器资源调度或者Devops经验。",腾讯,10000人以上,互联网,2024上半年
Golang,美股清结算Go开发工程师,18-35K·14薪,深圳,1-3年,本科,Golang 后台,"工作职责：
负责清算业务系统的维护、设计、沟通等工作，主要包括：
1、负责清结算业务系统的系统开发，如融资融券系统、期权系统、公司行动 等。
工作要求：
1、熟练掌握Go语言；
2、本科及以上学历，计算机或相关专业；有扎实的计算机基础知识；
3、责任感强、能够承担工作压力；",富途,1000-9999人,互联网,2024上半年
Golang,云监控平台研发,25-50K·15薪,上海,经验不限,本科,Golang,"1、负责字节跳动火山引擎云原生一体化可观测性平台建设，为用户提供极致的云原生可观测性产品体验, 包括但不仅限于 可视化大盘、报警生命周期管理、SLO、链路分析等；
2、负责字节跳动火山引擎云原生可观测性基础设施建设，主要包括 观测数据接入采集、数据加工 等领域；
3、负责观测业务的对接和丰富，了解云的各个业务的观测场景和发展。
职位要求
1、掌握Golang/Java任意一种语言，具备高并发场景下设计、编码、优化及问题排查能力；
2、熟悉工程的最佳实践、能在日常工作中贯彻推行代码设计、代码测试、代码评审、CI/CD、部署运维等方面的最佳实践；
3、参与过观测领域产品迭代 包括报警、链路分析、指标大盘、SLO构建等；
4、熟悉观测底层引擎 (比如: Prometheus、Influxdb等)，熟悉日志、指标、链路的采集接入技术 (比如: OTEL, OpenTracing等)；
5、热爱技术，自我驱动，主动思考，不断钻研和探索新领域，有较好的技术敏感度、风险识别能力和全局意识；
6、高度的责任心，良好的沟通能力和团队协作精神，有较强的跨团队协调能力且抗压能力强。",北京字节跳动,10000人以上,互联网,2024上半年
Golang,高级后端开发工程师,17-30K·15薪,杭州,3-5年,本科,"Golang
MySQL","1、以 AI 技术为驱动的业务方向，接触最新的技术和高效的团队；
2、主导或参与系统设计、研发、部署等相关工作；
3、研发基础服务组件，解决共性需求，减少重复开发与运维；
4、有较强的系统问题分析经验和能力，能够解决复杂的系统问题；
5、参与生产系统维护工作，解决生产系统问题及进行系统调优。",字节跳动,10000人以上,互联网,2024上半年
Golang,资深后端开发工程师（go）,22-30K,北京,5-10年,本科,"Gin
Golang
IM
即时通讯","岗位职责
1. 负责内部效率工具的功能开发；
1. 参与大数据管线的搭建与维护；
2. 具有良好的业务抽象能力，对工程的质量和效率负责。
任职要求
1. 大学本科及以上学历，5年以上互联网后端系统研发经验；
2. 熟悉C++、GO等后台开发语言。熟悉网络编程，熟练掌握TCP/UDP、HTTP等网络协议；
3. 熟悉 MySQL、MongoDB等常见数据库，熟悉kafka等常见消息队列，熟悉至少一种微服务或web框架。
4. 熟悉云原生软件工具， 熟悉Docker、K8s等容器部署环境软件。
5. 具有大规模架构的实践经验，熟悉故障定位、容量规划、架构设计、性能优化等方面；
6. 具备良好的自驱力、较强的责任感、团队合作精神、逻辑思维能力和表达能力
7. 参与过IM项目者优先",IM30,500-999人,游戏,2024上半年
Golang,golang高级开发工程师,30-60K,北京,3-5年,本科,"Golang
Kubernetes
计算机相关专业
Golang服务端开发经验","业务侧开发，not 底层调度，研发岗位，不带团队。
职位描述
1.负责公司 To B 产品、原型、内部系统等的服务端架构设计和开发工作。
2.后端语言：Golang为主、熟悉Python
职位要求
1.本科及以上学历，3-7年后端开发经验。
2.精通至少一门后端语言，入职后可根据公司安排，转用公司统一的语言/技术栈；
3.有良好的编码习惯，善用单元测试和自动化测试，熟悉 DevOps 工作流程，精通 git。
4.熟练使用常用后端组件：关系型数据库、Redis、Kafka/RocketMQ、NoSQL数据库等，了解这些组件的整体原理、最佳实践、适用范围。
5.熟悉容器技术的原理和最佳实践；熟悉微服务架构，以及常见的后端架构设计范式。
6.熟悉后端常见的安全风险及防护措施。
7.有一定的 To B 产品 sense，能够完成“产品原型设计”到“成品”的完整过程。
8.热爱技术，钻研本质，终身学习，在工作中不被经验束缚，从第一性原理出发思考问题",北京无问芯穹科技,20-99人,智能硬件,2024上半年
Golang,高级后台开发工程师,30-50K·15薪,深圳,3-5年,本科,"Golang
C++
Kubernetes
计算机相关专业
中大型项目开发经验
系统架构设计经验
Linux
微服务架构
Beego
后端开发
高级软件工程师
Gin
gRPC","岗位职责：
1.负责语音语义、行业大模型工程化及周边建设，支撑智能客服、AI助手、数智人、智能分析、智能质检等产品业务和配套工具的功能开发、技术难点攻关、技术框架优化和性能优化等；
2.参与日常产品特性讨论，评估项目可行性。优化用户体验，包括但不限于：业务流程、交互、性能、成本、安全等。
岗位要求：
1.本科以上学历,计算机软件及相关专业；
2.3年以上后台开发工作经验，软件知识结构全面,基本功扎实；
3.深入了解至少一门编程语言,C++和Golang；
4.熟悉Linux开发环境,了解常用Linux命令、docker和k8s技术；
5.熟悉至少一种数据库/数据存储类组件使用,如mysql,es,redis等；
6.熟悉TCP/IP,HTTP等通信协议,具有Socket网络编程和大规模并发服务器开发经验优先；
7.对事情有非常清晰的思考和分析能力，具备良好的沟通能力和团队协作能力，有责任心,能承受一定强度的工作压力。",腾讯,10000人以上,互联网,2024上半年
Golang,Golang开发工程师,20-35K·15薪,北京,1-3年,本科,"后端开发
架构师
Go
PHP","负责手机百度SERVER端开发，用户方向，对接端数据下发和后端业务系统设计和处理
-根据产品和运营需求，进行网站需求分析、架构设计
-根据产品需求文档分解任务
-产品架构高可用性、高可扩展性方向的优化调整
-对现有系统的不足进行分析，找到目前系统的瓶颈，改进系统算法，提高系统性能",百度,10000人以上,互联网,2024上半年
Golang,Golang开发工程师,8-13K·13薪,东莞,1-3年,学历不限,"Golang
分布式技术
算法基础
大数据
管理系统
支付
人工智能
数据结构","1、一年以上Golang开发经验，有过完整项目开发经验
2、熟悉Linux系统，熟悉服务端部署
3、精通MySQL/NoSQL/NewSQL，并有良好的数据库设计和优化能力
4、精通TCP/IP、HTTP协议，有WebSocket开发经验者优先
5、有分布式、大数据或熟悉主流算法开发经验者优先
6、具有高负载、高并发的系统设计、开发经验者优先
7、工作积极主动，善于沟通，有责任心，追求质量，具有较强自驱学习能力",畅游科技,0-20人,互联网,2024上半年
Golang,golang后端开发工程师,20-40K·14薪,北京,3-5年,本科,"Golang
广告系统开发
PHP
Golang服务端开发经验
计算机相关专业
商业化","工作职责：
1.负责品牌广告相关投放系统的后台研发工作，确保业务系统稳定、高可用；
2.对业务需求进行技术方案设计、实现及优化，持续提升服务性能和稳定性；
3.参与广告系统及服务建设，对接并跟进内外部各方的数据及接口。
任职资格：
1.全日制统招本科及以上学历，计算机相关专业，3年以上后台开发经验；
2.具备扎实的编码和计算机基础，熟悉数据结构及设计模式；
3.熟练掌握Go、PHP至少一种编程语言及相关语言的主流开发框架；
4.熟练掌握LNMP下的服务端相关技术，熟悉Redis、消息队列、RPC、缓存、API设计、分布式等；
5.具备良好的团队合作精神、沟通能力和高度的责任感；
6.具备较好的分析问题和解决问题的能力，思路清晰，善于思考和总结归纳；
7.具有广告系统相关开发经验者优先。",搜狐,10000人以上,互联网,2024上半年
Golang,软件开发工程师,15-30K·14薪,深圳,经验不限,本科,"Golang
Python
C++
计算机相关专业
中大型项目开发经验
Golang服务端开发经验
不限
Unreal","岗位职责：1. 负责云服务特性的设计和开发；2. 负责机器人特性的设计和开发；
岗位要求：1. 熟悉golang、c、c++编程语言中的一种或多种，2. 熟悉云计算相关技术，3. 了解机器人相关技术；
岗位种类：机器人开发工程师，机器人算法工程师，云服务开发工程师，AI算法工程师
岗位亮点：华为 云计算 技术创新部门，这里有天才少年、顶级专家、专业产品经理，在这里可以接触到业界领先的技术
办公地点：上海（中宝盛达中心4号楼）和深圳（华为坂田基地E区）均有岗位，工作内容相同",华为云计算,10000人以上,互联网,2024上半年
